| network_model                | GuideDepth                        |
| sq_rel   | 0.462527  |
| rmse     | 2.728     |
| rmse_log | 0.208094  |
| log10    | 0.0493845 |
| silog    | 0.197583  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_83.pth 
| d1       | 0.813367  |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0950516 |
| sq_rel   | 0.462444  |
| rmse     | 2.72792   |
| rmse_log | 0.208052  |
| log10    | 0.0493252 |
| silog    | 0.197518  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_84.pth 
| d1       | 0.81339   |
| d2       | 0.901647  |
| d3       | 0.98604   |
| abs_rel  | 0.0949078 |
| sq_rel   | 0.462358  |
| rmse     | 2.72782   |
| rmse_log | 0.20801   |
| log10    | 0.0492646 |
| silog    | 0.197447  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_85.pth 
| d1       | 0.813427  |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0947748 |
| sq_rel   | 0.462284  |
| rmse     | 2.72775   |
| rmse_log | 0.207971  |
| log10    | 0.0492083 |
| silog    | 0.197386  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_86.pth 
| d1       | 0.81346   |
| d2       | 0.901646  |
| d3       | 0.98604   |
| abs_rel  | 0.0946439 |
| sq_rel   | 0.462211  |
| rmse     | 2.72767   |
| rmse_log | 0.207934  |
| log10    | 0.0491522 |
| silog    | 0.197337  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_87.pth 
| d1       | 0.813491  |
| d2       | 0.901648  |
| d3       | 0.98604   |
| abs_rel  | 0.0945128 |
| sq_rel   | 0.462136  |
| rmse     | 2.72757   |
| rmse_log | 0.207895  |
| log10    | 0.0490955 |
| silog    | 0.197289  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_88.pth 
| d1       | 0.813525  |
| d2       | 0.901648  |
| d3       | 0.98604   |
| abs_rel  | 0.0943884 |
| sq_rel   | 0.462063  |
| rmse     | 2.72749   |
| rmse_log | 0.207858  |
| log10    | 0.0490419 |
| silog    | 0.197237  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_89.pth 
| d1       | 0.813547  |
| d2       | 0.901649  |
| d3       | 0.98604   |
| abs_rel  | 0.0942624 |
| sq_rel   | 0.461987  |
| rmse     | 2.72739   |
| rmse_log | 0.20782   |
| log10    | 0.0489873 |
| silog    | 0.197189  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_90.pth 
| d1       | 0.813573  |
| d2       | 0.901649  |
| d3       | 0.98604   |
| abs_rel  | 0.0941378 |
| sq_rel   | 0.461912  |
| rmse     | 2.72729   |
| rmse_log | 0.207782  |
| log10    | 0.048933  |
| silog    | 0.19715   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_91.pth 
| d1       | 0.813607  |
| d2       | 0.901649  |
| d3       | 0.98604   |
| abs_rel  | 0.0940217 |
| sq_rel   | 0.461844  |
| rmse     | 2.72721   |
| rmse_log | 0.207747  |
| log10    | 0.0488825 |
| silog    | 0.197114  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_92.pth 
| d1       | 0.813651  |
| d2       | 0.90165   |
| d3       | 0.98604   |
| abs_rel  | 0.093905  |
| sq_rel   | 0.461772  |
| rmse     | 2.72713   |
| rmse_log | 0.207712  |
| log10    | 0.0488321 |
| silog    | 0.19707   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_93.pth 
| d1       | 0.813683  |
| d2       | 0.901651  |
| d3       | 0.98604   |
| abs_rel  | 0.0937882 |
| sq_rel   | 0.461699  |
| rmse     | 2.72704   |
| rmse_log | 0.207676  |
| log10    | 0.0487821 |
| silog    | 0.197019  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_94.pth 
| d1       | 0.813727  |
| d2       | 0.901651  |
| d3       | 0.98604   |
| abs_rel  | 0.0936789 |
| sq_rel   | 0.461633  |
| rmse     | 2.72697   |
| rmse_log | 0.207643  |
| log10    | 0.0487355 |
| silog    | 0.196974  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_95.pth 
| d1       | 0.813772  |
| d2       | 0.901652  |
| d3       | 0.98604   |
| abs_rel  | 0.093569  |
| sq_rel   | 0.461566  |
| rmse     | 2.72689   |
| rmse_log | 0.207609  |
| log10    | 0.0486883 |
| silog    | 0.196937  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_96.pth 
| d1       | 0.813811  |
| d2       | 0.901653  |
| d3       | 0.98604   |
| abs_rel  | 0.0934557 |
| sq_rel   | 0.461495  |
| rmse     | 2.7268    |
| rmse_log | 0.207574  |
| log10    | 0.0486397 |
| silog    | 0.196899  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_97.pth 
| d1       | 0.813853  |
| d2       | 0.901653  |
| d3       | 0.98604   |
| abs_rel  | 0.0933448 |
| sq_rel   | 0.461424  |
| rmse     | 2.72672   |
| rmse_log | 0.20754   |
| log10    | 0.0485923 |
| silog    | 0.196857  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_98.pth 
| d1       | 0.813905  |
| d2       | 0.901654  |
| d3       | 0.98604   |
